nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
29,14,,,republican,5,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='?' & `aid-to-nicaraguan-contras`=='?' & `anti-satellite-test-ban`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'aid-to-nicaraguan-contras', 'anti-satellite-test-ban']"
30,16,religious-groups-in-schools,,republican,5,"{'y': np.int64(50), 'n': np.int64(51)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools']"
31,16,aid-to-nicaraguan-contras,,republican,5,"{'n': np.int64(52), 'y': np.int64(53), '?': np.int64(54)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
32,16,aid-to-nicaraguan-contras,,republican,5,"{'n': np.int64(55), '?': np.int64(56)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
33,17,religious-groups-in-schools,,republican,5,"{'n': np.int64(57), 'y': np.int64(58)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
34,17,,,republican,5,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'aid-to-nicaraguan-contras']"
35,19,aid-to-nicaraguan-contras,,republican,5,"{'n': np.int64(59), 'y': np.int64(60)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='y' & `mx-missile`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'aid-to-nicaraguan-contras']"
36,19,,,republican,5,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='y' & `mx-missile`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile']"
37,20,handicapped-infants,,republican,5,"{'n': np.int64(61), 'y': np.int64(62)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'handicapped-infants']"
38,20,aid-to-nicaraguan-contras,,democrat,5,"{'n': np.int64(63), 'y': np.int64(64)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'aid-to-nicaraguan-contras']"
39,22,anti-satellite-test-ban,,democrat,5,"{'y': np.int64(65), 'n': np.int64(66)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y' & `mx-missile`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile', 'anti-satellite-test-ban']"
40,22,synfuels-corporation-cutback,,democrat,5,"{'y': np.int64(67), 'n': np.int64(68)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y' & `mx-missile`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile', 'synfuels-corporation-cutback']"
41,22,,,democrat,5,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y' & `mx-missile`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile']"
42,23,religious-groups-in-schools,,democrat,5,"{'n': np.int64(69), 'y': np.int64(70), '?': np.int64(71)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y' & `export-administration-act-south-africa`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools']"
43,23,aid-to-nicaraguan-contras,,democrat,5,"{'y': np.int64(72), 'n': np.int64(73)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y' & `export-administration-act-south-africa`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
44,24,aid-to-nicaraguan-contras,,democrat,5,"{'n': np.int64(74), 'y': np.int64(75)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='n' & `export-administration-act-south-africa`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
45,24,aid-to-nicaraguan-contras,,democrat,5,"{'n': np.int64(76), 'y': np.int64(77)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
46,25,aid-to-nicaraguan-contras,,democrat,5,"{'n': np.int64(78), 'y': np.int64(79)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='?' & `export-administration-act-south-africa`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
47,25,aid-to-nicaraguan-contras,,democrat,5,"{'y': np.int64(80), '?': np.int64(81)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='?' & `export-administration-act-south-africa`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
48,27,,,democrat,5,,False,True,`physician-fee-freeze`=='?' & `handicapped-infants`=='?' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='?',"['physician-fee-freeze', 'handicapped-infants', 'mx-missile', 'aid-to-nicaraguan-contras']"
49,27,,,democrat,5,,False,True,`physician-fee-freeze`=='?' & `handicapped-infants`=='?' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'handicapped-infants', 'mx-missile', 'aid-to-nicaraguan-contras']"
50,30,immigration,,republican,6,"{'y': np.int64(82), 'n': np.int64(83)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='n' & `religious-groups-in-schools`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools', 'immigration']"
51,30,,,republican,6,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='n' & `religious-groups-in-schools`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools']"
52,31,religious-groups-in-schools,,republican,6,"{'y': np.int64(84), 'n': np.int64(85)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
53,31,religious-groups-in-schools,,republican,6,"{'y': np.int64(86), 'n': np.int64(87)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
54,31,,,republican,6,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
55,32,education-spending,,republican,6,"{'y': np.int64(88), '?': np.int64(89)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='?' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'education-spending']"
56,32,,,republican,6,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='?' & `aid-to-nicaraguan-contras`=='?',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
57,33,adoption-of-the-budget-resolution,,republican,6,"{'n': np.int64(90), 'y': np.int64(91)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='y' & `religious-groups-in-schools`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools', 'adoption-of-the-budget-resolution']"
58,33,,,republican,6,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='y' & `religious-groups-in-schools`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
59,35,export-administration-act-south-africa,,republican,6,"{'y': np.int64(92), '?': np.int64(93), 'n': np.int64(94)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='y' & `mx-missile`=='n' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'aid-to-nicaraguan-contras', 'export-administration-act-south-africa']"
60,35,,,republican,6,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='y' & `mx-missile`=='n' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'aid-to-nicaraguan-contras']"
61,37,export-administration-act-south-africa,,republican,6,"{'n': np.int64(95), '?': np.int64(96)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='n' & `handicapped-infants`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'handicapped-infants', 'export-administration-act-south-africa']"
62,37,export-administration-act-south-africa,,democrat,6,"{'y': np.int64(97), '?': np.int64(98)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='n' & `handicapped-infants`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'handicapped-infants', 'export-administration-act-south-africa']"
63,38,,,democrat,6,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'aid-to-nicaraguan-contras']"
64,38,,,democrat,6,,False,True,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='y' & `immigration`=='n' & `mx-missile`=='y' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'immigration', 'mx-missile', 'aid-to-nicaraguan-contras']"
65,39,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y' & `mx-missile`=='n' & `anti-satellite-test-ban`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile', 'anti-satellite-test-ban']"
66,39,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y' & `mx-missile`=='n' & `anti-satellite-test-ban`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile', 'anti-satellite-test-ban']"
67,40,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y' & `mx-missile`=='y' & `synfuels-corporation-cutback`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile', 'synfuels-corporation-cutback']"
68,40,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='n' & `religious-groups-in-schools`=='y' & `mx-missile`=='y' & `synfuels-corporation-cutback`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'religious-groups-in-schools', 'mx-missile', 'synfuels-corporation-cutback']"
69,42,immigration,,democrat,6,"{'?': np.int64(99), 'n': np.int64(100), 'y': np.int64(101)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y' & `export-administration-act-south-africa`=='?' & `religious-groups-in-schools`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools', 'immigration']"
70,42,immigration,,democrat,6,"{'n': np.int64(102), 'y': np.int64(103)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y' & `export-administration-act-south-africa`=='?' & `religious-groups-in-schools`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools', 'immigration']"
71,42,immigration,,democrat,6,"{'y': np.int64(104), 'n': np.int64(105)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y' & `export-administration-act-south-africa`=='?' & `religious-groups-in-schools`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools', 'immigration']"
72,43,religious-groups-in-schools,,democrat,6,"{'n': np.int64(106), 'y': np.int64(107), '?': np.int64(108)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
73,43,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='y' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
74,44,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='n' & `export-administration-act-south-africa`=='?' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
75,44,religious-groups-in-schools,,democrat,6,"{'y': np.int64(109), 'n': np.int64(110)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='n' & `export-administration-act-south-africa`=='?' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
76,45,immigration,,democrat,6,"{'n': np.int64(111), 'y': np.int64(112)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'immigration']"
77,45,religious-groups-in-schools,,democrat,6,"{'y': np.int64(113), 'n': np.int64(114), '?': np.int64(115)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
78,46,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='?' & `export-administration-act-south-africa`=='?' & `aid-to-nicaraguan-contras`=='n',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
79,46,religious-groups-in-schools,,democrat,6,"{'n': np.int64(116), 'y': np.int64(117)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='?' & `export-administration-act-south-africa`=='?' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
80,47,religious-groups-in-schools,,democrat,6,"{'y': np.int64(118), 'n': np.int64(119)}",False,False,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='?' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='y',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools']"
81,47,,,democrat,6,,False,True,`physician-fee-freeze`=='n' & `adoption-of-the-budget-resolution`=='y' & `mx-missile`=='?' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='?',"['physician-fee-freeze', 'adoption-of-the-budget-resolution', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras']"
82,50,el-salvador-aid,,republican,7,"{'y': np.int64(120), '?': np.int64(121)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='n' & `religious-groups-in-schools`=='y' & `immigration`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools', 'immigration', 'el-salvador-aid']"
83,50,anti-satellite-test-ban,,republican,7,"{'n': np.int64(122), '?': np.int64(123)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='n' & `religious-groups-in-schools`=='y' & `immigration`=='n',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'religious-groups-in-schools', 'immigration', 'anti-satellite-test-ban']"
84,52,adoption-of-the-budget-resolution,,republican,7,"{'n': np.int64(124), 'y': np.int64(125), '?': np.int64(126)}",False,False,`physician-fee-freeze`=='y' & `synfuels-corporation-cutback`=='n' & `mx-missile`=='n' & `export-administration-act-south-africa`=='y' & `aid-to-nicaraguan-contras`=='n' & `religious-groups-in-schools`=='y',"['physician-fee-freeze', 'synfuels-corporation-cutback', 'mx-missile', 'export-administration-act-south-africa', 'aid-to-nicaraguan-contras', 'religious-groups-in-schools', 'adoption-of-the-budget-resolution']"
